product id,product name,pzn,price rec,package size,descriptions
332568,Sinupret® Saft,00605588,13.3,100 ml,Pflanzliches Arzneimittel bei Nasennebenhöhlenentzündungen.
335765,Nurofen 200 mg Schmelztabletten Lemon,02547582,10.98,12 st,Ibuprofen-Schmerzmittel in schnell löslicher Form.
363715,Vitamin B-Komplex-ratiopharm,04132750,24.97,60 st,Kombination verschiedener B-Vitamine zur Unterstützung des Nervensystems.
368333,Calmvalera Hevert Tropfen,06560421,35.97,100 ml,Homöopathisches Arzneimittel bei nervöser Unruhe und Schlafstörungen.
1248085,femiLoges® 4 mg magensaftresistente Tabletten,16815862,20.44,30 st,Hormonfreies Arzneimittel zur Linderung von Wechseljahresbeschwerden.
376212,Umckaloabo® Saft für Kinder,08871266,13.15,120 ml,Pflanzlicher Saft zur Behandlung von Atemwegsinfektionen bei Kindern.
368367,"DulcoLax® Dragées, 5 mg magensaftresistente Tabletten",06800196,22.9,100 st,Abführmittel zur kurzfristigen Behandlung von Verstopfung.
717525,Diclo-ratiopharm Schmerzgel,04704198,8.89,50 g,Schmerzgel zur äußeren Anwendung bei Muskel- und Gelenkschmerzen.
772646,"Minoxidil BIO-H-TIN-Pharma 20 mg/ml Spray zur Anwendung auf der Haut (Kopfhaut), Lösung",10391763,22.5,60 ml,Lösung zur Anwendung auf der Kopfhaut bei erblich bedingtem Haarausfall.
790415,Hyaluron-ratiopharm® Augentropfen,10810214,13.74,10 ml,Befeuchtende Augentropfen mit Hyaluronsäure bei trockenen Augen.
790661,"FeniHydrocort Creme 0,25 %",10796980,8.59,20 g,Kortisonhaltige Creme zur Behandlung leichter Hautentzündungen und Juckreiz.
879236,Eucerin UreaRepair PLUS Lotion 10%,11678159,27.75,400 ml,Intensiv pflegende Lotion für sehr trockene und raue Haut.
899231,Vigantolvit 2000 I.E. Vitamin D3,12423869,17.99,120 st,Vitamin-D-Präparat zur Unterstützung von Knochen und Immunsystem.
